key,name,sortOrder,japanese,instrument,website,group,altEnglish,altJapanese,altWebsite,altWebsite2
hiroshi-iihoshi,Hiroshi Iihoshi,Iihoshi; Hiroshi,飯星裕史,keyboard,http://iihoshi.sakura.ne.jp/,,,,,
hiroshi-ikejiri,Hiroshi Ikejiri,Ikejiri; Hiroshi,池尻洋史,bass,https://hiroshiikejiri.tumblr.com/,,,,,
hiroshi-kagawa,Hiroshi Kagawa,Kagawa; Hiroshi,香川裕史,bass,http://kagawahiroshi.blog111.fc2.com/,,,,,
hiroshi-kojima,Hiroshi Kojima,Kojima; Hiroshi,小島洋,saxophone,https://www.facebook.com/hiroshi.kojima.92754,,,,,
hiroshi-minami,Hiroshi Minami,Minami; Hiroshi,南博,piano,https://minamihiroshi.com/,,,,,
hiroshi-murakami,Hiroshi Murakami,Murakami; Hiroshi,村上寛,drums,https://ameblo.jp/hmd314/,,,,,
hiroshi-sugano,Hiroshi Sugano,Sugano; Hiroshi,菅野浩,sax,https://hiroshi-sugano.com/,,,,,
hiroshi-suzuki,Hiroshi Suzuki,Suzuki; Hiroshi,鈴木広志,saxophone,http://www.suzuki-hiroshi.com/,,,,,
hiroshi-takase,Hiroshi Takase,Takase; Hiroshi,高瀬裕,bass,http://www.takasehiroshi.com/,,,,,
hiroshi-yoshino,Hiroshi Yoshino,Yoshino; Hiroshi,吉野弘志,bass,https://emeregueponchi1955.jimdofree.com/,,,,,
hirotsugu-sakemoto,Hirotsugu Sakemoto,Sakemoto; Hirotsugu,酒本廣継,trombone,https://trbsakejazz.wixsite.com/swingin--trombone,,,,,
hiroyasu-sugano,Hiroyasu Sugano,Sugano; Hiroyasu,菅野博靖,vocal,,,,,,
hiroyoshi-horie,Hiroyoshi Horie,Horie; Hiroyoshi,堀江洋賀,guitar,https://ameblo.jp/creamsoda-okawari/,,,,https://armadillo-armadillo.jimdofree.com/%E5%A0%80%E6%B1%9F%E6%B4%8B%E8%B3%80/,
hiroyuki-ishikawa,Hiroyuki Ishikawa,Ishikawa; Hiroyuki,石川広行,trumpet,https://ameblo.jp/voice-to-voices/,,,,,
hiroyuki-kubota,Hiroyuki Kubota,Kubota; Hiroyuki,久保田浩之,guitar,https://www.instagram.com/kubota335_guitar/,,kubota (from Jill-Decoy association),,,
hiroyuki-takubo,Hiroyuki Takubo,Takubo; Hiroyuki,田窪寛之,piano,https://hirotakubo.exblog.jp/,,,,,
hiroyuki-yamaguchi,Hiroyuki Yamaguchi,Yamaguchi; Hiroyuki,山口裕之,bass,https://www.hiroyukiyamaguchi.net/,,,,,
hiroyuki-yamamoto,Hiroyuki Yamamoto,Yamamoto; Hiroyuki,山本裕之,bass,http://hiroyukiyamamoto.com/,,,,,
hisatsugu-suzuki,Hisatsugu Suzuki,Suzuki; Hisatsugu,鈴木央紹,saxophone,http://www.hisax.net/,,,,,
hitomi-aikawa,Hitomi Aikawa,Aikawa; Hitomi,相川瞳,percussion,https://www.hitomiaikawa.com/,,,,,
hitomi-nishiyama,Hitomi Nishiyama,Nishiyama; Hitomi,西山瞳,piano,https://hitominishiyama.net/,1,,,,
hitomi-yamakami,Hitomi Yamakami,Yamakami; Hitomi,ヤマカミヒトミ,saxophone,https://hitomiya.exblog.jp/,,,,,
hiyoyuki-yokota,Hiroyuki Yokota,Yokota; Hiroyuki,横田寛之,saxophone,http://www.gauchedavinci.com/,,,,,
ikuo-sakurai,Ikuo Sakurai,Sakurai; Ikuo,櫻井郁雄,bass,https://jazzlive.jp/SakuraiIkuo/,,,,,
ippei-kato,Ippei Kato,Kato; Ippei,加藤一平,guitar,https://ippeih3.exblog.jp/,,,,,
isabeau-hansen,Isabeau Hansen,Hansen; Isabeau,,flute,,,,,,
isao-suzuki,Isao Suzuki,Suzuki; Isao,鈴木勲,bass,https://ameblo.jp/jazzgodfather/,,Omasound,,,
issei-yoshiba,Issei Yoshiba,Yoshiba; Issei,吉羽 一星,percussion,https://www.instagram.com/issei_goza_timbal_yoshiba/,,,,,
itsumi-komano,Itsumi Komano,Komano; Itsumi,駒野逸美,trombone,https://ameblo.jp/komanoitsumi-trombone/,,,,,
ittetsu-takemura,Ittetsu Takemura,Takemura; Ittetsu,竹村一哲,drums,http://ittetsu2.web.fc2.com/,,,,,
iwao-masuhara,Iwao Masuhara,Masuhara; Iwao,増原巖,bass,https://musicisreal.hatenablog.com/,,,,,
jack-dejohnette,Jack DeJohnette,DeJohnette; Jack,,drums,https://www.jackdejohnette.com/,,,,,
jakob-buchanan,Jakob Buchanan,Buchanan; Jakob,,flugelhorn,,,,,,
james-macaulay,James Macaulay,Macaulay; James,,trombone,https://www.jamesmacaulay.com.au/,,,,,
james-moody,James Moody,Moody; James,,saxophone,https://en.wikipedia.org/wiki/James_Moody_(saxophonist),,,,,
jay-anderson,Jay Anderson,Anderson; Jay,,bass,http://www.jayandersonbass.com/,,,,,
jean-philippe-viret,Jean-Philippe Viret,Viret; Jean-Philippe,,bass,https://www.jeanphilippeviret.com/,,,,,
jeff-ballard,Jeff Ballard,Ballard; Jeff,,drums,https://www.jeffballard.com/,,,,,
jeff-tain-watts,Jeff “Tain” Watts,Watts; Jeff “Tain”,,drums,https://jefftain.bandcamp.com/,,,,,
jeremy-manasia,Jeremy Manasia,Manasia; Jeremy,,piano,http://www.jeremymanasia.com/,,,,,
jerome-jennings,Jerome Jennings,Jennings; Jerome,,drums,http://www.jeromejennings.com/,,,,,
jesse-forest,Jesse Forest,Forest; Jesse,,guitar,https://jesseforestmusic.com/,,,,,
jimmy-heath,Jimmy Heath,Heath; Jimmy,,saxophone,https://www.jimmyheath.com/,,,,https://en.wikipedia.org/wiki/Jimmy_Heath,
jin-mitsuda,Jin Mitsuda,Mitsuda; Jin,光田じん,drums,https://mitsudajin.com/,,,,,
jiro-okada,Jiro Okada,Okada; Jiro,岡田治郎,bass,http://jiro-okada.com/,,,,,
jiro-suzuki,Jiro Suzuki,Suzuki; Jiro,鈴木次郎,guitar,,,,,,
jo-da-babylonia,Jo da Babylonia,Babylonia; Jo da,ジョー・ダ・バビロニア,cavaquinho,http://jobaby.jp/,,,,,
jo-endo,Jo Endo,Endo; Jo,遠藤 定,bass,https://enjodobass.wixsite.com/joe-endo,,,,,
joe-farnsworth,Joe Farnsworth,Farnsworth; Joe,,drums,https://www.joefarnsworthdrums.com/,,,,,
joh-yamada,Joh Yamada,Yamada; Joh,山田穣,saxophone,https://www.ne.jp/asahi/jiyou/yama/index.htm,,,,,
johan-birgenius,Johan Birgenius,Birgenius; Johan,,drums,,,,,,
john-carlini,John Carlini,Carlini; John,,guitar,https://johncarlinimusic.com/,,,,,
john-ellis,John Ellis,Ellis; John,,saxophone,http://www.johnaxsonellis.com/,,,,,
jonathan-katz,Jonathan Katz,Katz; Jonathan,,piano,,,,,,
josei,Josei,Josei,丈青,piano,https://joseipiano.wixsite.com/home,,,,,
juasa-kano,Juasa Kano,Kano; Juasa,加納樹麻,drums,https://juasakanoh.com/,,,,,
jun-furuya,Jun Furuya,Furuya; Jun,古谷淳,piano,https://junfuruya.com/,,,,,
jun-kimura,Jun Kimura,Kimura; Jun,木村純,guitar,https://jun-kimura.jp/,,,,,
jun-miyakawa,Jun Miyakawa,Miyakawa; Jun,宮川純,piano,https://www.jun-miyakawa.com/,,,,,
jun-satsuma,Jun Satsuma,Satsuma; Jun,佐津間純,guitar,https://junsatsuma.com/,,,,,
jun-yamaoka,Jun Yamaoka,Yamaoka; Jun,山岡潤,euphonium,,,,,,
junichi-sato,Junichi Sato,Sato; Junichi,佐藤潤一,bass,https://www.instagram.com/jun3321mimi/,,,,,
junichiro-ohkuchi,Junichiro Ohkuchi,Ohkuchi; Junichiro,大口純一郎,piano,https://pianistjohkuchi.blogspot.com/,,,,,
junja-kameyama,Junja Kameyama,Kameyama; Junja,亀山淳弥,guitar,https://kasamemusic.com/teacher/kameyama-junya-guitar-lesson,,,,,
junji-hirose,Junji Hirose,Hirose; Junji,広瀬潤次,drums,https://hirolin.jimdofree.com/,,,,,
junko-hirayama,Junko Hirayama,Hirayama; Junko,平山順子,saxophone,https://kotoriongaku.com/junkohirayama/,,,,https://ameblo.jp/petitmoo/,
junko-onishi,Junko Onishi,Onishi; Junko,大西順子,piano,https://junkoonishi.jp/,,,,,
junko-tanaka,Junko Tanaka,Tanaka; Junko,田中淳子,vocal,http://juncomodo.com/,,,,,
jyoji-sawada,Jyoji Sawada,Sawada; Jyoji,沢田穣治,bass,https://ameblo.jp/jyojisawada/,,,,,
kaito-nakamura,Kaito Nakamura,Nakamura; Kaito,中村海斗,drums,https://www.instagram.com/kaito_nkmr_d/,,,,https://ameblo.jp/bakamugu343/,
kan,Kan,Kan,日高歓,percussion,https://www.instagram.com/tambourine.kan/,,,,,
kana-fuefuki,Kana Fuefuki,Fuefuki; Kana,笛吹かな,flute,https://www.fuefukikana.com/,,,,,
kana-hiramatsu,Kana Hiramatsu,Hiramatsu; Kana,平松加奈,violin,http://kanaviolin.com/,,,,,
kanae-shima,Kanae Shima,Shima; Kanae,志摩かなえ,violin,https://afia.info/%E5%BF%97%E6%91%A9%E3%81%8B%E3%81%AA%E3%81%88-3/,,,,,
kanji-ohta,Kanji Ohta,Ohta; Kanji,太田寛二,piano,https://www.kanji-ohta.com/,,,,,
kano-nami,Kano Nami,Nami; Kano,加納奈実,saxophone,https://kanonami.jimdofree.com/,1,,,https://ameblo.jp/namikano73/,
kanoa-mendenhall,Kanoa Mendenhall,Mendenhall; Kanoa,,bass,https://kanoamusic.com/,,,,,
kanoko-kitajima,Kanoko Kitajima,Kitajima; Kanoko,北島佳乃子,piano,https://ameblo.jp/jazz-pf/,,,,,
kanon-aonami,Kanon Aonami,Aonami; Kanon,蒼波花音,saxophone,https://kanon-aonami.com/,,,,,
kaori-banba,Kaori Banba,Banba; Kaori,番場かおり,viola,,,,,,
kaori-miyoshi,Kaori Miyoshi,Miyoshi; Kaori,三善香里,vocal,,,,,,
kaori-nakajima,Kaori Nakajima,Nakajima; Kaori,中島香里,vibraphone,https://qqvibnkaoripp.wixsite.com/jazz-vibist-kaori-na,,,,https://blog.goo.ne.jp/vibraphone_kaorin,
kaoru-azuma,Kaoru Azuma,Azuma; Kaoru,東かおる,vocal,https://kaoruazuma.com/,,,,,
kaoru-suzuki,Kaoru Suzuki,Suzuki; Kaoru,鈴木郁,drums,https://jazzshiryokan.net/jazzDB/musician_detail.php?recordID=M4541,,,スズキカヲル,,
katsuto-suzuki,Katsuto Suzuki,Suzuki; Katsuto,鈴木克人,bass,http://jazzbasssuzukikatsuto.web.fc2.com/,,,,,
kayoko-abe,Kayoko Abe,Abe; Kayoko,阿部かよこ,vocal,https://abekayoko.com/,,,,http://kayobossa.blog.fc2.com/,
kazu-odayama,Kazu Odayama,Odayama; Kazu,小山田和正,drums,https://oyadamablog.ldblog.jp/,,,,,
kazuaki-yokoyama,Kazuaki Yokoyama,Yokoyama; Kazuaki,横山和明,drums,https://blog.goo.ne.jp/klookmop,,,,,
kazuhide-motooka,Kazuhide Motooka,Motooka; Kazuhide,元岡一英,piano,https://www.discogs.com/artist/1652824-Kazuhide-Motooka,,,,,
kazuhiko-kondo,Kazuhiko Kondo,Kondo; Kazuhiko,近藤和彦,saxophone,http://www.kazuhikokondo.com/,,,,,
kazuhiko-obata,Kazuhiko Obata,Obata; Kazuhiko,小畑和彦,guitar,http://kaerukobo.com/obata_335/,,,,,
kazuhiko-takeda,Kazuhiko Takeda,Takeda; Kazuhiko,竹田一彦,guitar,https://ameblo.jp/kazuhikotakeda/,,,,,
kazuhiro-odagiri,Kazuhiro Odagiri,Odagiri; Kazuhiro,小田桐和寛,drums,https://www.kazuhiroodagiri.com/,,,,,
kazuhiro-sunaga,Kazuhiro Sunaga,Sunaga; Kazuhiro,須長和広,bass,https://kazuhirosunaga.tumblr.com/,,,,,
kazuhiro-tamura,Kazuhiro Tamura,Tamura; Kazuhiro,田村和大,piano,https://ameblo.jp/kazu-piano/,,,,,
kazuma-fujimoto,Kazuma Fujimoto,Fujimoto; Kazuma,藤本一馬,guitar,https://www.kazumafujimoto.com/,,,,,
kazuma-sone,Kazuma Sone,Sone; Kazuma,曽根一馬,guitar,https://kazuma-sone.jp/,,,,,
kazumasa-akiyama,Kazumasa Akiyama,Akiyama; Kazumasa,秋山一将,guitar,http://www7a.biglobe.ne.jp/~encore/akiyama/,,,,,
kazumasa-oyamada,Kazumasa Oyamada,Oyamada; Kazumasa,小山田和正,drums,http://oyadamablog.ldblog.jp/,,,,,
kazumi-ikenaga,Kazumi Ikenaga,Ikenaga; Kazumi,池長和美,drums,http://www.graphic-art.com/ikenaga/,,,,,
kazutoshi-umeda,Kazutoshi Umeda,Umeda; Kazutoshi,梅田和利,guitar,https://www.miyajimusic.com/school/lecturer/profile.php?id=umeda_kazutoshi,,,,,
kazuyoshi-kuroda,Kazuyoshi Kuroda,Kuroda; Kazuyoshi,黒田和良,drums,,,,,,
kei-akagi,Kei Akagi,Akagi; Kei,ケイ赤城,piano,http://www.worldcom.ne.jp/~yamagen/kei/top-info.htm,,,,,
keigo-iwami,Keigo Iwami,Iwami; Keigo,岩見継吾,bass,http://keigoiwami.blog110.fc2.com/,,,,,
keiichi-yoshida,Keiichi Yoshida,Yoshida; Keiichi,吉田桂一,piano,https://ameblo.jp/pianok10823/,,,,,
keiichiro-uemura,Keiichiro Uemura,Uemura; Keiichiro,上村計一郎,drums,,,,,,
keiji-matsushima,Keiji Matsushima,Matsushima; Keiji,松島啓之,trumpet,http://matsushimakeiji.com/,,,,,
keiketsu-ko,Keiketsu Ko,Ko; Keiketsu,黄啓傑,trumpet,https://ameblo.jp/kokeiketsu/,,,,,
keiko-chuma,Keiko Chuma,Chuma; Keiko,ちゅうまけいこ,vocal,http://chuma2.seesaa.net/,,,,,
keiko-morishita,Keiko Morishita,Morishita; Keiko,森下敬子,vocal,,,,,,
keisaku-takahashi,Keisaku Takahashi,Takahashi; Keisaku,髙橋佳作,piano,,,,,,
keisuke-furuki,Keisuke Furuki,Furuki; Keisuke,古木佳祐,bass,https://www.keisukefuruki.com/,,,,,
keisuke-nakamura,Keisuke Nakamura,Nakamura; Keisuke,中村恵介,trumpet,https://blackdevil729.wixsite.com/keisuke-nakamura,,,,https://ameblo.jp/keisuke-nakamura/,
keisuke-ohta,Keisuke Ohta,Ohta; Keisuke,太田惠資,violin,http://violin-ohta.cside.com/,,,,,
keita-harigai,Keita Harigai,Harigai; Keita,張替啓太,trombone,,,,,,
keita-okada,Keita Okada,Okada; Keita,岡田ケイタ,drums,,,,,,
keizo-kawano,Keizo Kawano,Kawano; Keizo,河野啓三,piano,,,,,,
ken-kaneko,Ken Kaneko,Kaneko; Ken,金子健,bass,http://www.bass-face.com/kenkaneko.html,,,,http://www.kenkaneko.com/,
ken-kawamura,Ken Kawamura,Kawamura; Ken,川村健,piano,https://kawaxken.wixsite.com/mysite,,,,,
ken-kobayashi,Ken Kobayashi,Kobayashi; Ken,小林健,drums,https://www.discogs.com/artist/4679945-Ken-Kobayashi-4,,,,,
ken-ota,Ken Ota,Ota; Ken,太田剣,saxophone,http://www.kenota.net/,,,,,
ken-takai,Ken Takai,Takai; Ken,高井健,vocal,,,,,,
ken-tsunoda,Ken Tsunoda,Tsunoda; Ken,角田健,drums,http://blog.livedoor.jp/tsunoken555/,,Tsunoken,つの犬,,
kendrick-scott,Kendrick Scott,Scott; Kendrick,,drums,http://www.kendrickscott.com/,,,,,
kengo-komae,Kengo Komae,Komae; Kengo,小前賢吾,drums,http://komason69.web.fc2.com/,,,,,
kengo-nakamura,Kengo Nakamura,Nakamura; Kengo,中村健吾,bass,https://kengonakamura.com/,,,,,
kenichi-nishio,Kenichi Nishio,Nishio; Kenichi,西尾健一,trumpet,https://jazzshiryokan.net/jazzDB/musician_detail.php?serialNumber=2748,,,,,
kenichiro-murata,Kenichiro Murata,Murata; Kenichiro,村田憲一郎,drums,https://ameblo.jp/muraken-jazz/,,,,,
kenichiro-shinzawa,Ken'ichiro Shinzawa,Shinzawa; Ken'ichiro,新澤健一郎,piano,https://www.shinzawa.net/,,,,http://pinzawa.jugem.jp/,
kenji-yoshitake,Kenji Yoshitake,Yoshitake; Kenji,吉武健次,bass,https://www.kenjiyoshitake.com/,,,,,
kenny-barron,Kenny Barron,Barron; Kenny,,piano,,,,,,
kenny-washington,Kenny Washington,Washington; Kenny,,drums,https://en.wikipedia.org/wiki/Kenny_Washington_(musician),,,,,
kenny-werner,Kenny Werner,Werner; Kenny,,piano,https://kennywerner.com/,,,,,
kenta-tsugami,Kenta Tsugami,Tsugami; Kenta,津上研太,saxophone,https://kentatsugami.amebaownd.com/,,,,,
kiichi-futamura,Kiichi Futamura,Futamura; Kiichi,二村希一,piano,https://kiichi-futamura.asablo.jp/blog/,,,,,
kiichiro-komobuchi,Kiichiro Komobuchi,Komobuchi; Kiichiro,コモブチキイチロウ,bass,http://www.comobass.com/,,,,,
kilin-sato,Kilin Sato,Sato; Kilin,佐藤きりん,bass,https://www.satokilin.com/,,Yusuke Sato,佐藤有介,,
kiyoshi-kitagawa,Kiyoshi Kitagawa,Kitagawa; Kiyoshi,北川潔,bass,https://en.wikipedia.org/wiki/Kiyoshi_Kitagawa,,,,,
kiyoshi-takeshita,Kiyoshi Takeshita,Takeshita; Kiyoshi,竹下清志,piano,,,,,,
kiyotaka-kuroda,Kiyotaka Kuroda,Kuroda; Kiyotaka,黒田清高,drums,,,,,,
klaus-nrgaard,Klaus Nørgaard,Nørgaard; Klaus,,bass,,,,,,
ko-omura,Ko Omura,Omura; Ko,大村亘,drums,https://kojazz0829.wixsite.com/1981,,,,https://koomuraa.exblog.jp/,
koei-tanaka,Koei Tanaka,Tanaka; Koei,田中光栄,harmonica,https://www.tanakakoei.com/,,,,,
kohei-ando,Kohei Ando,Ando; Kohei,安藤康平,saxophone,https://anpan5150.wixsite.com/anpan5150,,,,,
kohei-kamuro,Kohei Kamuro,Kamuro; Kohei,かむろ耕平,guitar,https://ameblo.jp/chicagomoon/,,,,,
kohei-kawanami,Kohei Kawanami,Kawanami; Kohei,河波浩平,vocal,https://namiheysound.tumblr.com/,,Namihey,,,
kohzo-komori,Kohzo Komori,Komori; Kohzo,小森耕造,drums,https://jazzshiryokan.net/jazzDB/musician_detail.php?recordID=M2163,,,,,
koichi-hirata,Koichi Hirata,Hirata; Koichi,平田晃一,guitar,https://ameblo.jp/koichihirata0726/,,,,,
koichi-hiroki,Koichi Hiroki,Hiroki; Koichi,廣木光一,guitar,https://hirokimusic.tokyo/,,,,,
koichi-inoue,Koichi Inoue,Inoue; Koichi,井上功一,drums,,,,,,
koichi-kuniwake,Koichi Kuniwake,Kuniwake; Koichi,国分航一,bass,,,,,,
koichi-osamu,Koichi Osamu,Osamu; Koichi,納浩一,bass,https://www.osamukoichi.net/,,,,,
koichi-sato,Koichi Sato,Sato; Koichi,佐藤浩一,piano,https://koichisato.com/,1,,,,
koji-goto,Koji Goto,Goto; Koji,後藤浩二,piano,https://kojigoto.web.fc2.com/,,,,,
koji-tetsui,Koji Tetsui,Tetsui; Koji,鉄井孝司,bass,https://www.instagram.com/koztet/,,,,,
koji-yamashita,Koji Yamashita,Yamashita; Koji,山下弘治,bass,https://jazzshiryokan.net/jazzDB/musician_detail.php?serialNumber=1835,,Kohji Yamashita,,,
koji-yasuda,Koji Yasuda,Yasuda; Koji,安田幸司,bass,http://jmsu.web.fc2.com/koji/,,,,,
koki-matsui,Koki Matsui,Matsui; Koki,松井宏樹,saxophone,https://www.kokimatsui.com/,,,,,
kosuke-mine,Kosuke Mine,Mine; Kosuke,峰厚介,saxophone,http://www.aomori-net.ne.jp/~yamagen/mine/top.htm,,,,,
kosuke-ochiai,Kosuke Ochiai,Ochiai; Kosuke,落合康介,bass,https://skbss117.exblog.jp/,,,,,
kota-kaihori,Kota Kaihori,Kaihori; Kota,海堀弘太,piano,https://kotakaihori.com/biography/,,,,,
kotaro-kobayashi,Kotaro Kobayashi,Kobayashi; Kotaro,小林航太朗,bass,https://kotarobass.exblog.jp/,,,,,
kouki,Kouki,Kouki,,vocal,,,,,,
koyuza-sanyutei,Koyuza Sanyutei,Sanyutei; Koyuza,三遊亭小遊三,trumpet,https://ja.wikipedia.org/wiki/%E4%B8%89%E9%81%8A%E4%BA%AD%E5%B0%8F%E9%81%8A%E4%B8%89,,,,,
kozue-tsukayama,Kozue Tsukayama,Tsukayama; Kozue,津嘉山梢,piano,https://uruma186.amebaownd.com/,,,,,
kunie-kai,Kunie Kai,Kai; Kunie,甲斐久仁江,vocal,https://kunie-kai.com/,,,,,
kunihiro-kikuta,Kunihiro Kikuta,Kikuta; Kunihiro,菊田邦裕,trumpet,https://www.youtube.com/channel/UCL7aERvz2tS1SvXQYUEmybw,,,,,
kunikazu-tanaka,Kunikazu Tanaka,Tanaka; Kunikazu,田中邦和,saxophone,https://www.kuni-kuni.net/,,,,,
kunio-oinuma,Kunio Oinuma,Oinuma; Kunio,生沼邦夫,bass,,,,,,
kunpei-nakabayashi,Kunpei Nakabayashi,Nakabayashi; Kunpei,中林薫平,bass,https://www.instagram.com/kunpeibass/,,,,https://soundcloud.com/nakabayashi-kunpei,
kuruno-haruko,Kuruno Haruko,Haruko; Kuruno,黒野治子,piano,,,,,,
kyoko-ogata,Kyoko Ogata,Ogata; Kyoko,緒方京子,vocal,,,,,,
kyouka-asanuma,Kyouka Asanuma,Asanuma; Kyouka,浅沼杏花,violin,,,,,,
kyrie-anderson,Kyrie Anderson,Anderson; Kyrie,キリー・アンダーソン,drums,https://www.kyrieandersonmusic.com.au/,,,,,
lafrae-olivia-sci,LaFrae Olivia Sci,Sci; LaFrae Olivia,,drums,,,,,,
larry-grenadier,Larry Grenadier,Grenadier; Larry,,bass,https://larrygrenadier.com/,,,,,
layla-tomomi-sakai,Layla Tomomi Sakai,Sakai; Layla Tomomi,坂井レイラ知美,vocal,https://www.sakailaylatomomi.com/,,Sakai Layla Tomomi,,,
leina-ushiyama,Leina Ushiyama,Ushiyama; Leina,牛山玲名,violin,http://leina017.jugem.jp/,,,,,
leona-isabella,Leona Isabella,Isabella; Leona,レオナ・イザベラ,vocal,https://www.leonaisabella.com/,,,,,
lewis-nash,Lewis Nash,Nash; Lewis,,drums,https://lewisnashmusic.com/,,,,,
lili,LiLi,LiLi,りり,vocal,https://vocal-lili.wixsite.com/lili-jazz/,,LiLi Vocal,,,
lionel-loueke,Lionel Loueke,Loueke; Lionel,,guitar,https://www.lionellouekemusic.com/,,,,,
luques-curtis,Luques Curtis,Curtis; Luques,,bass,https://www.luquescurtis.com/,,,,,
m-oto,M-oto,M-oto,エムオート,human beat box,,,,,,
mabumi-yamaguchi,Mabumi Yamaguchi,Yamaguchi; Mabumi,山口真文,saxophone,https://mabumi.com/,,,,,
madoka-koike,Madoka Koike,Koike; Madoka,小池まどか,violin,,,,,,
magne-thormodster,Magne Thormodsæter,Thormodsæter; Magne,,bass,https://en.wikipedia.org/wiki/Magne_Thormods%C3%A6ter,,,,,
magnus-hjorth,Magnus Hjorth,Hjorth; Magnus,,piano,,,,,,
mai-petty,Mai Petty,Petty; Mai,マイペティ,vocal,https://pettyblossom.com/,,Mai Suzuki,,https://ameblo.jp/mai-joyfulworld/,
maiko,maiko,maiko,マイコ,violin,https://jvmaiko.com/,,maiko,平岡舞子,https://ameblo.jp/jvmaiko/,
maki-fujihashi,Maki Fujihashi,Fujihashi; Maki,藤橋万記,percussion,https://linktr.ee/makicongas,,,,https://note.com/makiconga/,
maki-fujimura,Maki Fujimura,Fujimura; Maki,藤村麻紀,vocal,https://maki.tv/,,,,,
maki-kikuchi,Maki Kikuchi,Kikuchi; Maki,菊地真紀,vocal,http://blog.livedoor.jp/maki_sweetbird/,,,,https://www.instagram.com/maki_sweetbird/,
maki-kitamura,Maki Kitamura,Kitamura; Maki,北村真紀,piano,https://www.facebook.com/maki.kitamura.73,,,,https://pfmakitamura.base.shop/,
maki-nakao,Maki Nakao,Nakao; Maki,中尾真喜,vocal,https://ameblo.jp/nakkysing/,,,,https://spaceshowermusic.com/artist/12084095/,
maki-okudaira,Maki Okudaira,Okudaira; Maki,奥平真希,vocal,https://www.makiokudaira.com/,,,,,
maki-tominaga,Maki Tominaga,Tominaga; Maki,富永真紀,piano,,,,,,
makiko-murakosi,Makiko Murakosi,Murakosi; Makiko,村越麻希子,violin,,,,,,
makiko-sugawara,Makiko Sugawara,Sugawara; Makiko,菅原牧子,violin,,,,,,
makiyo-sakai,Makiyo Sakai,Sakai; Makiyo,酒井麻生代,flute,https://makiyo327.wixsite.com/flute,,,,https://ameblo.jp/flu-ty,
makoto-deguchi,Makoto Deguchi,Deguchi; Makoto,出口誠,piano,,,,,,
makoto-nishida,Makoto Nishida,Nishida; Makoto,西田まこと,guitar,,,,,,
